0,0,284,4
1,0,96,13
2,0,415,8
3,0,48,11
4,0,175,2
5,0,40,12
6,0,33,12
7,0,483,14
8,1,39,12
9,1,359,1
10,1,341,18
11,1,279,15
12,1,442,10
13,1,82,19
14,1,125,11
15,1,551,13
16,2,145,4
17,2,162,10
18,2,527,10
19,2,528,1
20,2,431,11
21,2,347,9
22,2,210,9
23,2,210,15
24,3,494,8
25,3,273,20
26,3,255,10
27,3,472,1
28,3,223,9
29,3,218,15
30,3,394,15
31,3,236,17
32,4,136,1
33,4,376,1
34,4,95,6
35,4,518,7
36,4,189,20
37,4,94,1
38,4,583,13
39,4,220,20
40,5,441,7
41,5,440,4
42,5,523,6
43,5,352,15
44,5,531,8
45,5,325,12
46,5,517,20
47,5,503,20
48,6,580,8
49,6,254,7
50,6,75,12
51,6,366,3
52,6,157,18
53,6,590,9
54,6,357,11
55,6,549,17
56,7,587,14
57,7,241,1
58,7,44,6
59,7,429,7
60,7,253,15
61,7,303,4
62,7,395,17
63,7,275,16
64,8,305,15
65,8,479,7
66,8,287,15
67,8,285,15
68,8,444,3
69,8,294,1
70,8,129,9
71,8,537,6
72,9,449,8
73,9,184,6
74,9,96,10
75,9,450,12
76,9,110,18
77,9,323,4
78,9,232,19
79,9,461,15
80,10,524,16
81,10,288,18
82,10,223,20
83,10,53,10
84,10,445,2
85,10,491,12
86,10,421,13
87,10,316,15
88,11,374,5
89,11,304,3
90,11,585,17
91,11,588,1
92,11,308,10
93,11,142,3
94,11,104,6
95,11,599,15
96,12,321,15
97,12,45,19
98,12,15,3
99,12,236,7
100,12,229,3
101,12,329,2
102,12,525,4
103,12,83,12
104,13,502,2
105,13,238,1
106,13,516,5
107,13,509,4
108,13,171,18
109,13,331,15
110,13,135,14
111,13,342,14
112,14,34,15
113,14,193,19
114,14,187,19
115,14,325,16
116,14,399,19
117,14,515,16
118,14,343,6
119,14,432,13
120,15,174,2
121,15,46,8
122,15,149,12
123,15,339,16
124,15,278,14
125,15,39,20
126,15,297,3
127,15,527,15
128,16,101,16
129,16,353,17
130,16,407,14
131,16,300,8
132,16,560,9
133,16,478,14
134,16,374,2
135,16,337,18
136,17,522,1
137,17,227,11
138,17,545,10
139,17,288,8
140,17,457,3
141,17,62,3
142,17,9,16
143,17,493,17
144,18,406,6
145,18,169,14
146,18,334,2
147,18,565,18
148,18,435,13
149,18,542,19
150,18,262,17
151,18,241,19
152,19,164,7
153,19,586,15
154,19,226,17
155,19,234,2
156,19,208,20
157,19,68,11
158,19,117,18
159,19,228,18
160,20,568,17
161,20,428,17
162,20,6,20
163,20,501,16
164,20,460,4
165,20,46,20
166,20,226,11
167,20,148,5
168,21,234,17
169,21,583,11
170,21,236,3
171,21,220,17
172,21,200,17
173,21,300,1
174,21,568,5
175,21,24,20
176,22,311,6
177,22,119,15
178,22,225,20
179,22,294,5
180,22,232,8
181,22,363,16
182,22,224,16
183,22,158,6
184,23,144,18
185,23,477,20
186,23,277,1
187,23,306,17
188,23,381,18
189,23,459,17
190,23,261,9
191,23,198,13
192,24,312,4
193,24,358,4
194,24,588,5
195,24,230,9
196,24,498,7
197,24,585,8
198,24,26,16
199,24,468,15
200,25,513,18
201,25,217,17
202,25,520,15
203,25,329,6
204,25,74,8
205,25,164,10
206,25,113,13
207,25,472,16
208,26,414,16
209,26,508,19
210,26,515,13
211,26,320,20
212,26,199,5
213,26,507,11
214,26,29,2
215,26,112,4
216,27,105,2
217,27,526,19
218,27,361,17
219,27,19,19
220,27,587,14
221,27,316,16
222,27,281,11
223,27,340,5
